"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"v5fc991-q","The suspension ….<br/><br>
Not assessable Aftertaste","Suspenze ... Přetrvávající chuť nelze vyhodnotit","Суспензия... Послевкусие не поддается оценке ","La suspension... Arrière-goût non évaluable ","Suspensionen… Kan inte bedöma eftersmak","La suspension …. Arrière-goût : Je ne sais pas","La boisson …. Arrière-goût non évaluable ","התרחיף …. טעם לוואי לא ניתן להערכה","La suspensión... El gusto que deja en la boca no se puede evaluar ","음료는... 뒷맛을 평가할 수 없다. ","The suspension ….
Not assessable Aftertaste","Zawiesina… Posmak niemożliwy do określenia ","Die Suspension ... Nachgeschmack nicht bewertbar ","The suspension ….
Not assessable Aftertaste","Suspensionen ... Jag kan inte beskriva eftersmaken","La sospensione... Retrogusto non valutabile","Die Suspension ... Nachgeschmack nicht bewertbar ","The suspension ….
Not assessable Aftertaste","Suspension ominaisuus Ei arvioitavissa oleva jälkimaku ","A suspensão... Gosto residual não avaliável","المعلق... لم استطع تقييم مذاق ما بعد البلع","Süspansiyon .... Ağızda bıraktığı tat değerlendirilemiyor ","La suspensión... Regusto no evaluable","De suspensie... Nasmaak: Kan ik niet zeggen ","Le médicament …. Arrière-goût non évaluable ","A szuszpenzió... Nem értékelhető utóíz ","Het drankje …. Niet te beoordelen nasmaak"
"v5fc991-v5fc991_p98e973-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"v5fc991-v5fc991_jb636b8-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"qd8d1bf-q","The suspension ….<br/><br>
Other Aftertaste","Suspenze ... má jinou přetrvávající chuť","Суспензия... Имеет другое послевкусие","La suspension... Autre arrière-goût","Suspensionen… Har annan eftersmak","La suspension …. Autre arrière-goût","La boisson …. Autre arrière-goût","התרחיף …. טעם לוואי אחר","La suspensión... Otro gusto que deja en la boca","음료는... 그 외 다른 뒷맛","The suspension ….
Other Aftertaste","Zawiesina… Inny posmak","Die Suspension ... Anderer Nachgeschmack","The suspension ….
Other Aftertaste","Suspensionen ... Annan eftersmak","La sospensione... Ha un altro retrogusto","Die Suspension ... Anderer Nachgeschmack","The suspension ….
Other Aftertaste","Suspension ominaisuus Muu jälkimaku","A suspensão... Outro gosto residual","المعلق... مذاق مختلف آخر بعد البلعv","Süspansiyon .... Ağızda başka bir tat bırakıyor","La suspensión... Otro regusto","De suspensie... Andere nasmaak","Le médicament …. Autre arrière-goût","A szuszpenzió... Egyéb utóíz","Het drankje …. Andere nasmaak"
"qd8d1bf-qd8d1bf_p5a414a-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"qd8d1bf-qd8d1bf_e4e571a-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"ufe66b6-q","The suspension ….<br/><br>
Tastes metallic","Suspenze ... má kovovou pachuť","Суспензия... Имеет металлический привкус","La suspension... A un goût métallique","Suspensionen ... Smakar metalliskt","La suspension …. A un goût métallique","La boisson …. A un goût de métal","התרחיף …. עם טעם מתכתי","La suspensión... Tiene un sabor metálico","음료는... 금속 맛이 난다.","The suspension ….
Tastes metallic","Zawiesina… Ma metaliczny smak","Die Suspension ... schmeckt metallisch","The suspension ….
Tastes metallic","Suspensionen ... Smakar metalliskt","La sospensione... Ha un sapore metallico","Die Suspension ... schmeckt metallisch","The suspension ….
Tastes metallic","Suspension ominaisuus Maistuu metalliselta","A suspensão... Tem um sabor metálico","المعلق... له مذاق معدني","Süspansiyon .... Metalik bir tat bırakıyor","La suspensión... Tiene un sabor metálico","De suspensie... Smaakt metaalachtig","Le médicament …. A un goût de métal","A szuszpenzió... Fémes ízű","Het drankje …. Smaakt metaalachtig"
"ufe66b6-ufe66b6_p2890ac-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"ufe66b6-ufe66b6_r8fa7ab-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"g420638-q","The suspension ….<br/><br>
Makes my tongue feel dry","Suspenze ... způsobuje sucho na jazyku","Суспензия... Вызывает сухость языка","La suspension... Assèche ma langue","Suspensionen… Gör att tungan känns torr","La suspension …. Assèche ma langue","La boisson …. Assèche ma langue","התרחיף …. גורם ללשון שלי להרגיש יבשה","La suspensión... Me seca la lengua","음료는... 혀가 건조한 느낌이다.","The suspension ….
Makes my tongue feel dry","Zawiesina… Powoduje uczucie suchości języka","Die Suspension ... macht, dass sich meine Zunge trocken anfühlt","The suspension ….
Makes my tongue feel dry","Suspensionen ... Får min tunga att kännas torr","La sospensione... Mi fa sentire la lingua secca","Die Suspension ... macht, dass sich meine Zunge trocken anfühlt","The suspension ….
Makes my tongue feel dry","Suspension ominaisuus Saa kielen tuntumaan kuivalta","A suspensão... Fico com uma sensação de língua seca","المعلق... يجعل لساني جافًا","Süspansiyon .... Dilimde kuruluğa neden oluyor","La suspensión... Hace que la lengua se sienta seca","De suspensie... Zorgt ervoor dat mijn tong droog voelt","Le médicament …. Assèche ma langue","A szuszpenzió... Száraznak érzem tőle a nyelvemet","Het drankje …. Laat mijn tong droog aanvoelen"
"g420638-g420638_ne0d89d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"g420638-g420638_k4f43b2-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"m60a3d1-q","The suspension ….<br/><br>
Makes my mouth feel numb","Suspenze ... způsobuje znecitlivění úst","Суспензия... Вызывает онемение во рту","La suspension... Engourdit ma bouche","Suspensionen… Gör att munnen känns bortdomnad","La suspension …. Me donne des engourdissements dans la bouche","La boisson …. Engourdit ma bouche","התרחיף …. גורם לחוסר תחושה בפה","La suspensión... Me adormece la boca","음료는... 입안이 얼얼하다.","The suspension ….
Makes my mouth feel numb","Zawiesina… Powoduje uczucie drętwienia w ustach","Die Suspension ... lässt meinen Mund taub werden","The suspension ….
Makes my mouth feel numb","Suspensionen ... Får min mun att kännas bortdomnad","La sospensione... Rende la bocca insensibile","Die Suspension ... lässt meinen Mund taub werden","The suspension ….
Makes my mouth feel numb","Suspension ominaisuus Saa suun tuntumaan turralta","A suspensão... Fico com uma sensação de boca dormente","المعلق... يجعل فمي يشعر بالخدر","Süspansiyon .... Ağzımı uyuşturuyor","La suspensión... Hace que la boca se sienta entumecida","De suspensie... Maakt mijn mond gevoelloos","Le médicament …. Engourdit ma bouche","A szuszpenzió... Zsibbadást okoz a számban","Het drankje …. Maakt mijn mond gevoelloos"
"m60a3d1-m60a3d1_bd9b478-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"m60a3d1-m60a3d1_bc8fa6a-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"k8f3304-q","PLEASE SPECIFY","PROSÍM UPŘESNI:","УТОЧНИТЕ, КАКОЙ","EXPLIQUE TA RÉPONSE","VÄNLIGEN SPECIFICERA","VEUILLEZ PRÉCISER","PEUX-TU PRÉCISER ?","אנא פרט","ESPECIFICA","자세하게 적어주십시오.","PLEASE SPECIFY","PROSZĘ OKREŚLIĆ","BITTE GENAU ANGEBEN","PLEASE SPECIFY","HURDAN:","SPECIFICARE","BITTE GENAU ANGEBEN","PLEASE SPECIFY","Millainen?","ESPECIFIQUE","يرجى التحديد","LÜTFEN BELİRTİN","ESPECIFICAR","LEG UIT","PEUX-TU PRÉCISER ?","KÉRJÜK, JELLEMEZD","Specificeer"
"q1ee856-q","Capture spontaneous expressions of the child concerning the suspension. The expression indicates that the overall perception is …","Zapište spontánní výrazy dítěte ohledně suspenze. Výrazy svědčí o tom, že celkové hodnocení je ...","Обратите внимание на внешнее проявление эмоций ребенка в связи с приемом суспензии. Оно указывает на оценку общего восприятия...","Relevez les expressions spontanées de l’enfant concernant la suspension. L’expression indique que sa perception générale est...","Beskriv barnets spontana uttryck när det gäller suspensionen. Uttrycket tyder på att den allmänna upplevelsen är: …","Notez les expressions spontanées de l'enfant concernant la suspension. L’expression indique que la perception globale est …","Saisir les expressions spontanées de l’enfant concernant la suspension. L’expression indique que la perception globale est …","תיעוד התבטאויות ספונטניות של הילד לגבי התרחיף. ההתבטאות מצביעה על כך שהתפיסה הכללית היא כי התרחיף...","Capte las expresiones espontáneas del niño acerca de la suspensión. La expresión indica que la percepción general es ...","현탁액에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 전체적인 인식은...","Capture spontaneous expressions of the child concerning the suspension. The expression indicates that the overall perception is …","Proszę zanotować spontaniczne reakcje dziecka dotyczące zawiesiny. Reakcja dziecka wskazuje, że ogólne wrażenie jest…","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die Suspension. Der Ausdruck vermittelt den Gesamteindruck ...","Capture spontaneous expressions of the child concerning the suspension. The expression indicates that the overall perception is …","Bedöm barnets spontana reaktion på suspensionen. Reaktionen tyder på att den allmänna bedömningen av suspensionen är ...","Osservare le espressioni spontanee del bambino riguardo alla sospensione. L’espressione indica che la percezione generale è...","Erfassen Sie die spontanen Ausdrücke des Kindes in Bezug auf die Suspension. Der Ausdruck vermittelt den Gesamteindruck ...","Capture spontaneous expressions of the child concerning the suspension. The expression indicates that the overall perception is …","Arvioi lapsen spontaania reaktiota suspensioon (nestemäinen lääkeseos). Reaktio viittaa siihen, että yleisarvio suspensiosta on...","Capte expressões espontâneas da criança relativas à suspensão. A expressão indica que a perceção geral é...","التقط التعبيرات التلقائية للطفل فيما يتعلق بالمعلق. يشير التعبير إلى أن الإحساس العام…","Çocuğun süspansiyonla ilgili spontane ifadelerine dikkat edin. İfade, genel izlenimin ... olduğunu göstermektedir:","Capturar expresiones espontáneas del niño/a sobre la suspensión. La expresión indica que la percepción general es...","Let op spontane uitdrukkingen van het kind met betrekking tot de suspensie. De uitdrukking geeft aan dat de algemene perceptie … is","Collectez les expressions spontanées de l’enfant concernant le traitement en suspension orale. ","Jegyezze fel a gyermeknek a szuszpenzióra vonatkozó spontán megnyilvánulásait. A gyermek megnyilvánulása azt jelzi, hogy az általános megítélés...","Leg de spontane uitingen van het kind vast met betrekking tot de suspensie. De uitdrukking geeft aan dat de algemene perceptie is ..."
"q1ee856-q1ee856_n9e64ae-c","<p>Very bad</p>","Velmi špatné","Очень плохо","Très mauvaise","Mycket dålig","Très mauvaise","Très mauvaise","רע מאוד","Muy desagradable","매우 나쁨 ","Very bad","Bardzo złe","sehr schlecht","Very bad","mycket dålig ","Molto negativa","sehr schlecht","Very bad","todella huono","Muito mau","سيئ جدًا","Çok kötü","Muy mala","Heel slecht   ","Très mauvaise","Nagyon rossz","Zeer slecht"
"q1ee856-q1ee856_ycde9ab-c","<p>Bad</p>","Špatné","Плохо","Mauvaise","Dålig","Mauvaise","Mauvaise","רע","Desagradable","나쁨","Bad","Złe","schlecht ","Bad","dålig","Negativa","schlecht ","Bad","huono ","Mau","سيئ","Kötü","Mala","Slecht   ","Mauvaise","Rossz","Slecht"
"q1ee856-q1ee856_iead4e9-c","<p>Neutral</p>","Neutrální","Нейтрально","Neutre ","Neutral","Neutre ","Neutre ","ניטרלי","Neutra","보통","Neutral","Neutralne","neutral","Neutral","varken bra eller dålig","Neutra","neutral","Neutral","ei hyvä eikä huono","Neutro","عادي","Nötr","Neutra","Neutraal","Neutre ","Semleges","Neutraal"
"q1ee856-q1ee856_z4d1b5f-c","<p>Good</p>","Dobré","Хорошо","Bonne","Bra","Bonne","Bonne","טוב","Agradable","좋음","Good","Dobre","gut","Good","bra","Positiva","gut","Good","hyvä","Bom","جيد"," İyi  ","Buena","Goed ","Bonne","Jó","Goed"
"q1ee856-q1ee856_t131385-c","<p>Very good</p>","Velmi dobré  ","Очень хорошо","Très bonne","Mycket bra ","Très bonne","Très bonne","טוב מאוד","Muy agradable","매우 좋음","Very good","Bardzo dobre","sehr gut","Very good","mycket bra","Molto positiva","sehr gut","Very good","todella hyvä  ","Muito bom","جيد جدًا","Çok iyi","Muy buena","Heel goed   ","Très bonne","Nagyon jó","Zeer Goed"
"q1ee856-q1ee856_se5c7c7-c","<p>Not assessable</p>","Nelze hodnotit","Не поддается оценке","Non évaluable ","Vet ej","Non évaluable ","Non évaluable ","לא ניתן להערכה","No se puede evaluar","평가할 수 없음","Not assessable","Niemożliwe do oceny","nicht bewertbar","Not assessable","Kan inte säga","Non valutabile","nicht bewertbar","Not assessable","ei arvioitavissa","Não avaliável","لم أستطع التقييم","Değerlendirilemiyor","No evaluable","Niet beoordeelbaar  ","Non évaluable ","Nem értékelhető","Niet van toepassing"
"gcd8f98-q","The suspension ….<br/><br>
Not assessable Aftertaste","Suspenze ... Přetrvávající chuť nelze vyhodnotit","Суспензия... Послевкусие не поддается оценке ","La suspension …. Arrière-goût non évaluable","Suspensionen… Kan inte bedöma eftersmak","La suspension …. Arrière-goût non évaluable","La boisson …. Arrière-goût non évaluable ","התרחיף …. טעם לוואי לא ניתן להערכה","La suspensión ... Deja un gusto extraño en la boca","음료는... 뒷맛을 평가할 수 없다. ","The suspension ….
Not assessable Aftertaste","Zawiesina… Ma dziwny posmak","Die Suspension ... Nachgeschmack nicht bewertbar ","The suspension ….
Not assessable Aftertaste","Suspensionen ... Kan inte bedöma eftersmaken ","La sospensione... Retrogusto non valutabile","Die Suspension ... Nachgeschmack nicht bewertbar ","The suspension ….
Not assessable Aftertaste","Suspension ominaisuus Ei arvioitavissa oleva jälkimaku ","A suspensão... Gosto residual não avaliável","المعلق... لم استطع تقييم مذاق ما بعد البلع","Süspansiyon .... Ağızda bıraktığı tat değerlendirilemiyor ","La suspensión... Regusto no evaluable","De suspensie ... Nasmaak niet beoordeelbaar ","Le médicament …. Arrière-goût non évaluable ","A szuszpenzió... Nem értékelhető utóíz ","De suspensie  …. Niet te beoordelen nasmaak "
"gcd8f98-gcd8f98_f25b847-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"gcd8f98-gcd8f98_ya0d2e4-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"bfd420b-q","PLEASE SPECIFY","PROSÍM UPŘESNI:","УТОЧНИТЕ, КАКИЕ","VEUILLEZ PRÉCISER","VÄNLIGEN SPECIFICERA","VEUILLEZ PRÉCISER","VEUILLEZ PRÉCISER","אנא פרט","ESPECIFIQUE","자세하게 적어주십시오.","PLEASE SPECIFY","PROSZĘ OKREŚLIĆ","BITTE GENAU ANGEBEN","PLEASE SPECIFY","HURDAN:","SPECIFICARE","BITTE GENAU ANGEBEN","PLEASE SPECIFY","Millainen?","ESPECIFIQUE","يرجى التحديد","LÜTFEN BELİRTİN","ESPECIFICAR","LEG UIT","VEUILLEZ PRÉCISER","KÉRJÜK, JELLEMEZZE","Specificeer"
"h592984-q","The suspension ….<br/><br>
Other feeling in mouth","Suspenze má.... jinou chuť","Суспензия ощущается как... Другие ощущения","La suspension est… Autre sensation dans la bouche","Suspensionen … Annan känsla i munnen","La suspension donne une …Autre sensation dans la bouche","La suspension …. Autre sensation dans la bouche","התרחיף …. תחושה אחרת בפה","La suspensión ... Otra sensación en la boca","현탁액은... 그 외 다른 느낌","The suspension ….
Other feeling in mouth","Zawiesina… Inne wrażenie w ustach","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensionen ... Annan typ av munkänsla","La sospensione... Dà un’altra sensazione in bocca","Die Suspension … Anderes Gefühl im Mund","The suspension ….
Other feeling in mouth","Suspensio... Muunlainen suutuntuma","A suspensão... Outra sensação na boca","المعلق... شعور آخر بالفم","Süspansiyon .... Ağızda başka bir his bırakıyor","La suspensión produce una.... Otra sensación en la boca","De suspensie ... Ander gevoel in mond","La suspension …. Autre sensation dans la bouche","A szuszpenzió... Egyéb érzés a szájban","De suspensie  …. Ander gevoel in de mond"
"h592984-h592984_rf4fcf3-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"h592984-h592984_sde0e51-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"l66c120-q","The suspension ….<br/><br>
Tastes metallic","Suspenze ... má kovovou pachuť","Суспензия... Имеет металлический привкус","La suspension… A un goût métallique","Suspensionen ... Smakar metalliskt","La suspension … A un goût métallique","La boisson …. A un goût de métal","התרחיף …. עם טעם מתכתי","La suspensión ... Tiene un sabor metálico","음료는... 금속 맛이 난다.","The suspension ….
Tastes metallic","Zawiesina… Ma metaliczny smak","Die Suspension ... schmeckt metallisch","The suspension ….
Tastes metallic","Suspensionen ... Smakar metalliskt","La sospensione ... Ha un sapore metallico","Die Suspension ... schmeckt metallisch","The suspension ….
Tastes metallic","Suspension ominaisuus Maistuu metalliselta","A suspensão... Tem um sabor metálico","المعلق... له مذاق معدني","Süspansiyon .... Metalik bir tat bırakıyor","La suspensión... Tiene un sabor metálico","De suspensie ... Smaakt metaalachtig","Le médicament …. A un goût de métal","A szuszpenzió... Fémes ízű","De suspensie …. Smaakt metaalachtig"
"l66c120-l66c120_y6cbb8a-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"l66c120-l66c120_l6820e7-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"d6efb42-q","The suspension ….<br/><br>
Makes his/her tongue feel dry","Suspenze ... způsobuje sucho na jazyku","Суспензия... Вызывает сухость языка ребенка","La suspension… Assèche sa langue","Suspensionen ... Gör att tungan känns torr","La suspension … Assèche sa langue","La boisson …. Assèche sa langue","התרחיף …. גורם ללשון להרגיש יבשה","La suspensión ... Seca la lengua","음료는... 혀가 건조한 느낌이다.","The suspension ….
Makes his/her tongue feel dry","Zawiesina… Powoduje uczucie suchości języka","Die Suspension ... macht, dass sich die Zunge des Kindes trocken anfühlt","The suspension ….
Makes his/her tongue feel dry","Suspensionen ... Får tungan att kännas torr","La sospensione ... Secca la lingua","Die Suspension ... macht, dass sich die Zunge des Kindes trocken anfühlt","The suspension ….
Makes his/her tongue feel dry","Suspension ominaisuus Saa kielen tuntumaan kuivalta","A suspensão... Fica com uma sensação de língua seca","المعلق... يجعل لسانه / لسانها جافًا ","Süspansiyon .... Dilinde kuruluğa neden oluyor","La suspensión... Hace que su lengua se sienta seca","De suspensie ... Zorgt ervoor dat zijn/haar tong droog voelt","Le médicament …. Assèche sa langue","A szuszpenzió... A gyermek száraznak érzi tőle a nyelvét","De suspensie …. Laat zijn/haar tong droog aanvoelen"
"d6efb42-d6efb42_o9adf1d-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"d6efb42-d6efb42_l73f4e6-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"jf86e0d-q","The suspension ….<br/><br>
Makes his/her mouth feel numb","Suspenze ... způsobuje znecitlivění úst","Суспензия... Вызывает онемение во рту ребенка","La suspension… Donne une sensation d’engourdissement dans la bouche","Suspensionen ... Gör att munnen känns bortdomnad","La suspension … Lui donne des engourdissements dans la bouche","La boisson …. Engourdit sa bouche","התרחיף …. גורם לחוסר תחושה בפה","La suspensión ... Adormece la boca","음료는... 입안이 얼얼하다.","The suspension ….
Makes his/her mouth feel numb","Zawiesina… Powoduje uczucie drętwienia w ustach","Die Suspension ... lässt den Mund des Kindes taub werden","The suspension ….
Makes his/her mouth feel numb","Suspensionen ... Får munnen att kännas bortdomnad","La sospensione ... Intorpidisce la bocca","Die Suspension ... lässt den Mund des Kindes taub werden","The suspension ….
Makes his/her mouth feel numb","Suspension ominaisuus Saa suun tuntumaan turralta","A suspensão... Fica com uma sensação de boca dormente","المعلق... يجعل فمه / فمها يشعر بالخدر","Süspansiyon .... Ağzını uyuşturuyor","La suspensión... Hace que la boca se sienta entumecida","De suspensie ... Maakt zijn/haar mond gevoelloos","Le médicament …. Engourdit sa bouche","A szuszpenzió... A gyermek szájában zsibbadásérzést okoz","De suspensie …. Maakt zijn/haar mond gevoelloos"
"jf86e0d-jf86e0d_h41d7b1-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"jf86e0d-jf86e0d_pe0c30d-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"b7b250c-q","The suspension ….<br/><br>
Has a strange aftertaste","Suspenze ... má divnou přetrvávající chuť","Суспензия... Имеет необычное послевкусие","La suspension… A un arrière-goût étrange","Suspensionen ... Har en konstig eftersmak","La suspension … A un arrière-goût étrange","La boisson …. A un arrière-goût bizarre","התרחיף …. עם טעם לוואי מוזר","La suspensión ... El gusto que deja en la boca no se puede evaluar ","음료는... 뒷맛이 이상하다.","The suspension ….
Has a strange aftertaste","Zawiesina… Ma dziwny posmak","Die Suspension ... hat einen seltsamen Nachgeschmack","The suspension ….
Has a strange aftertaste","Suspensionen ... Har en konstig eftersmak","La sospensione ... Ha un retrogusto strano","Die Suspension ... hat einen seltsamen Nachgeschmack","The suspension ….
Has a strange aftertaste","Suspension ominaisuus Outo jälkimaku","A suspensão... Sim Não Tem um sabor residual estranho","المعلق... له مذاق غريب بعد البلع بفترة","Süspansiyon .... Ağızda tuhaf bir tat bırakıyor","La suspensión... Tiene un regusto extraño","De suspensie ... Heeft een vreemde nasmaak","Le médicament …. A un arrière-goût bizarre","A szuszpenzió... Furcsa utóízt hagy","De suspensie …. Heeft een vreemde nasmaak"
"b7b250c-b7b250c_l2488f8-c","<p>Yes</p>","Ano   ","Да   ","Oui   ","Ja","Oui   ","Oui   ","כן","Sí ","예","Yes","Tak","Ja","Yes","Ja","Sí ","Ja","Yes","Kyllä   ","Sim","نعم","Evet  ","Sí ","Ja","Oui   ","Igen","Ja"
"b7b250c-b7b250c_afa30db-c","<p>No</p>","Ne","Нет","Non","Nej","Non","Non","לא","No","아니요","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
